Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
22,Exit short,02-07-2025 02:45,Close entry(s) order SELL DD,106930.42,0.92066,97769.2125,-677.35,-0.69,58.14,0.06,-730.35,-0.75,-915.3,-0.92
22,Entry short,02-07-2025 00:00,SELL DD,106194.7,0.92066,97769.2125,-677.35,-0.69,58.14,0.06,-730.35,-0.75,-915.3,-0.92
23,Exit short,02-07-2025 05:00,Margin call,107799.99,0.0048,517.0992,-0.34,-0.07,0,0,-0.34,-0.07,-915.64,-0.92
23,Entry short,02-07-2025 05:00,SELL DD,107729,0.0048,517.0992,-0.34,-0.07,0,0,-0.34,-0.07,-915.64,-0.92
24,Exit short,02-07-2025 09:00,BUY DD,107379.92,0.91495,98566.64855,319.39,0.32,496.73,0.5,-120.07,-0.12,-596.25,-0.6
24,Entry short,02-07-2025 05:00,SELL DD,107729,0.91495,98566.64855,319.39,0.32,496.73,0.5,-120.07,-0.12,-596.25,-0.6
25,Exit long,02-07-2025 14:15,Close entry(s) order BUY DD,109120,0.92572,99403.73954,1610.83,1.62,2175.52,2.19,-92.5,-0.09,1014.58,1.01
25,Entry long,02-07-2025 09:00,BUY DD,107379.92,0.92572,99403.73954,1610.83,1.62,2175.52,2.19,-92.5,-0.09,1014.58,1.01
26,Exit short,02-07-2025 15:30,Margin call,109564.33,0.00064,70.1147008,-0.01,-0.01,0,0,-0.01,-0.01,1014.57,1.01
26,Entry short,02-07-2025 15:30,SELL DD,109554.22,0.00064,70.1147008,-0.01,-0.01,0,0,-0.01,-0.01,1014.57,1.01
27,Exit short,02-07-2025 15:45,Margin call,109681.81,0.006,657.32532,-0.77,-0.12,1.5,0.23,-0.77,-0.12,1013.81,1.01
27,Entry short,02-07-2025 15:30,SELL DD,109554.22,0.006,657.32532,-0.77,-0.12,1.5,0.23,-0.77,-0.12,1013.81,1.01
28,Exit short,02-07-2025 22:00,Close entry(s) order SELL DD,108975.96,0.91541,100287.0285,529.35,0.53,767.72,0.77,-116.8,-0.12,1543.15,1.54
28,Entry short,02-07-2025 15:30,SELL DD,109554.22,0.91541,100287.0285,529.35,0.53,767.72,0.77,-116.8,-0.12,1543.15,1.54
29,Exit long,03-07-2025 02:30,SELL DD,109449.99,0.93446,101542.1708,734.47,0.72,734.48,0.72,-91.46,-0.09,2277.62,2.28
29,Entry long,02-07-2025 23:15,BUY DD,108664.01,0.93446,101542.1708,734.47,0.72,734.48,0.72,-91.46,-0.09,2277.62,2.28
30,Exit short,03-07-2025 02:45,Margin call,109548,0.00664,726.7479336,-0.65,-0.09,0.75,0.1,-0.65,-0.09,2276.97,2.28
30,Entry short,03-07-2025 02:30,SELL DD,109449.99,0.00664,726.7479336,-0.65,-0.09,0.75,0.1,-0.65,-0.09,2276.97,2.28
31,Exit short,03-07-2025 05:00,Close entry(s) order SELL DD,109377.57,0.92782,101549.8897,67.19,0.07,281.86,0.28,-120.63,-0.12,2344.16,2.34
31,Entry short,03-07-2025 02:30,SELL DD,109449.99,0.92782,101549.8897,67.19,0.07,281.86,0.28,-120.63,-0.12,2344.16,2.34
32,Exit long,03-07-2025 11:45,Close entry(s) order BUY DD,109294.36,0.9338,102343.7143,-284.64,-0.28,868.43,0.85,-792.97,-0.77,2059.52,2.06
32,Entry long,03-07-2025 08:00,BUY DD,109599.18,0.9338,102343.7143,-284.64,-0.28,868.43,0.85,-792.97,-0.77,2059.52,2.06
33,Exit short,03-07-2025 17:30,Margin call,109802.25,0.0022,241.49147,-0.07,-0.03,0,0,-0.07,-0.03,2059.45,2.06
33,Entry short,03-07-2025 17:30,SELL DD,109768.85,0.0022,241.49147,-0.07,-0.03,0,0,-0.07,-0.03,2059.45,2.06
34,Exit short,03-07-2025 23:15,BUY DD,109200.01,0.92756,101817.1945,527.63,0.52,616.96,0.61,-98.17,-0.1,2587.08,2.59
34,Entry short,03-07-2025 17:30,SELL DD,109768.85,0.92756,101817.1945,527.63,0.52,616.96,0.61,-98.17,-0.1,2587.08,2.59
35,Exit long,04-07-2025 00:30,Close entry(s) order BUY DD,109198.79,0.93944,102586.8574,-1.15,0,162.59,0.16,-16.43,-0.02,2585.93,2.59
